age,job,marital,education,contact,month,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,duration,y
33,management,single,tertiary,cellular,aug,5,-1,0,unknown,0.03,93.676,-43.3,2.806,5183.5,226,no
39,services,married,secondary,cellular,jul,10,-1,0,unknown,0.3,93.11,-40.5,5.316,5231.2,174,no
31,entrepreneur,divorced,tertiary,cellular,jul,1,-1,0,unknown,-1.2,94.517,-39.9,4.72,5269.5,53,no
49,management,married,secondary,unknown,jun,2,-1,0,unknown,-1.97,93.534,-40.7,2.904,5170.3,156,no
28,self-employed,single,tertiary,cellular,jun,1,-1,0,unknown,-0.79,93.561,-31.7,4.718,5187.4,673,no
33,unemployed,single,tertiary,cellular,may,3,-1,0,unknown,-2.8,94.679,-37.7,2.321,5238.0,324,no
33,technician,divorced,secondary,unknown,may,1,-1,0,unknown,0.44,93.201,-40.7,2.063,5168.9,87,no
50,blue-collar,married,secondary,telephone,jan,1,-1,0,unknown,0.82,93.321,-35.8,5.002,5178.6,37,no
35,blue-collar,married,secondary,cellular,apr,2,335,1,failure,0.41,94.225,-45.2,3.556,5267.1,332,no
46,management,married,primary,unknown,may,2,-1,0,unknown,-0.38,93.922,-43.7,2.414,5139.2,221,no
46,blue-collar,married,secondary,unknown,jun,1,-1,0,unknown,1.33,94.602,-42.3,3.935,5172.6,155,no
33,blue-collar,married,secondary,unknown,may,3,-1,0,unknown,-1.24,94.024,-43.5,4.048,5249.3,239,no
26,technician,single,tertiary,cellular,jul,1,-1,0,unknown,2.08,93.126,-41.6,4.048,5116.0,393,no
29,unemployed,divorced,tertiary,cellular,jul,2,-1,0,unknown,0.66,94.055,-38.3,3.572,5129.8,579,no
59,management,married,tertiary,cellular,sep,2,-1,0,unknown,0.4,94.161,-44.1,1.944,5129.7,98,no
36,services,married,secondary,cellular,jul,5,-1,0,unknown,0.53,94.5,-34.1,3.676,5112.5,716,yes
51,blue-collar,married,secondary,telephone,jul,4,-1,0,unknown,1.01,94.095,-34.5,4.347,5137.1,53,no
40,unemployed,married,tertiary,unknown,jun,1,-1,0,unknown,0.44,94.143,-45.4,4.124,5234.7,95,no
32,blue-collar,married,secondary,unknown,jun,1,-1,0,unknown,-1.07,93.352,-45.8,3.358,5218.7,171,no
58,retired,married,primary,cellular,jul,4,-1,0,unknown,1.02,94.145,-43.0,2.963,5160.4,189,no
53,admin.,married,secondary,telephone,jun,1,-1,0,unknown,-0.98,93.919,-39.2,2.624,5220.0,145,no
26,housemaid,married,primary,cellular,jul,4,-1,0,unknown,0.49,93.15,-34.8,2.015,5251.4,416,no
53,technician,married,secondary,cellular,jan,1,-1,0,unknown,0.25,92.79,-37.5,3.093,5103.7,146,no
33,entrepreneur,married,tertiary,cellular,aug,2,-1,0,unknown,-0.55,93.411,-45.1,4.003,5237.9,22,no
57,management,married,tertiary,unknown,may,1,-1,0,unknown,0.26,93.333,-38.9,2.434,5192.4,124,no
38,management,married,tertiary,cellular,apr,2,-1,0,unknown,-0.38,93.606,-40.8,3.556,5228.4,410,no
59,housemaid,married,primary,telephone,jul,7,-1,0,unknown,1.32,93.33,-43.0,2.942,5119.2,118,no
52,unemployed,married,tertiary,cellular,jul,1,-1,0,unknown,0.6,93.491,-41.4,1.966,5156.9,90,no
57,services,married,primary,telephone,jul,1,-1,0,unknown,1.45,93.918,-43.1,2.772,5234.3,167,no
41,blue-collar,married,secondary,cellular,apr,5,-1,0,unknown,-0.4,94.895,-45.7,3.02,5192.7,234,no
34,management,single,tertiary,cellular,aug,2,-1,0,unknown,1.75,93.611,-40.6,2.552,5140.3,68,no
28,blue-collar,married,primary,cellular,apr,1,-1,0,unknown,0.13,94.335,-41.5,2.471,5197.5,404,no
30,management,single,tertiary,cellular,aug,4,-1,0,unknown,1.15,94.002,-36.0,3.397,5185.7,578,no
39,management,married,tertiary,cellular,nov,2,-1,0,unknown,-1.09,92.715,-45.2,1.795,5198.6,90,no
52,technician,married,secondary,cellular,nov,4,-1,0,unknown,2.02,94.801,-40.8,2.904,5200.3,89,no
29,services,divorced,secondary,unknown,may,2,-1,0,unknown,-0.29,92.756,-39.7,2.153,5154.8,76,no
39,management,single,tertiary,unknown,may,2,-1,0,unknown,0.62,94.5,-44.6,2.242,5156.1,66,no
34,blue-collar,married,primary,cellular,jul,3,-1,0,unknown,0.86,93.481,-39.4,4.175,5205.3,241,no
53,services,married,primary,cellular,aug,2,-1,0,unknown,0.36,93.77,-39.9,3.372,5201.6,80,no
35,unemployed,single,tertiary,cellular,jan,2,-1,0,unknown,-0.33,94.608,-38.9,3.127,5203.7,91,no
41,services,single,primary,cellular,may,1,167,5,failure,1.53,93.245,-38.3,2.34,5255.6,198,no
32,blue-collar,single,secondary,unknown,may,3,-1,0,unknown,1.61,93.687,-36.8,5.039,5240.9,108,no
44,management,married,tertiary,cellular,may,1,-1,0,unknown,0.43,93.241,-40.7,4.331,5160.6,257,no
28,blue-collar,married,secondary,unknown,may,1,-1,0,unknown,0.37,93.646,-47.4,4.218,5172.7,246,no
35,blue-collar,single,secondary,unknown,jun,6,-1,0,unknown,-0.41,93.629,-35.7,3.954,5194.2,43,no
45,admin.,married,secondary,unknown,may,3,-1,0,unknown,2.1,94.593,-34.8,2.359,5150.0,893,yes
31,blue-collar,married,secondary,cellular,jul,1,-1,0,unknown,-0.92,93.886,-38.4,3.977,5248.7,128,no
33,blue-collar,married,primary,unknown,may,2,-1,0,unknown,0.49,93.263,-41.6,3.528,5167.2,420,no
33,admin.,married,secondary,cellular,apr,1,-1,0,unknown,0.88,94.616,-40.4,2.098,5189.4,344,yes
77,retired,married,secondary,telephone,apr,4,-1,0,unknown,-1.6,93.678,-42.4,2.835,5146.1,72,no
46,technician,divorced,secondary,cellular,nov,1,-1,0,unknown,-1.26,93.1,-45.8,5.063,5232.8,78,no
48,self-employed,married,secondary,cellular,feb,2,-1,0,unknown,-0.87,94.165,-42.6,3.337,5235.7,130,no
40,technician,married,secondary,cellular,apr,2,-1,0,unknown,-1.99,93.224,-34.8,4.015,5159.2,431,no
33,management,married,tertiary,cellular,jul,2,-1,0,unknown,-1.99,94.458,-42.5,3.478,5103.9,159,no
67,retired,single,tertiary,telephone,apr,2,-1,0,unknown,-1.72,93.682,-37.1,2.572,5217.3,77,no
45,technician,divorced,secondary,cellular,apr,1,338,2,failure,2.63,93.698,-38.2,4.021,5159.1,183,no
58,blue-collar,married,primary,unknown,jun,1,-1,0,unknown,2.86,94.069,-35.4,4.45,5176.3,116,no
33,technician,married,secondary,cellular,jul,2,-1,0,unknown,1.67,92.329,-47.0,2.184,5179.5,166,no
26,management,single,tertiary,cellular,mar,1,-1,0,unknown,0.95,94.201,-40.5,3.656,5156.0,101,no
34,management,married,tertiary,cellular,nov,1,124,1,failure,1.7,92.612,-41.9,3.701,5133.1,123,no
56,retired,married,tertiary,cellular,nov,1,187,2,other,-1.13,93.611,-43.7,3.287,5239.3,630,no
53,blue-collar,single,primary,cellular,may,1,368,1,failure,-0.04,94.546,-45.8,3.112,5109.5,984,no
31,admin.,single,secondary,cellular,oct,1,126,4,failure,1.12,92.367,-40.4,3.049,5200.9,141,no
50,management,divorced,tertiary,cellular,aug,2,-1,0,unknown,-0.7,94.601,-33.9,4.053,5295.9,76,no
39,housemaid,married,tertiary,unknown,jun,1,-1,0,unknown,1.63,93.761,-42.4,3.71,5180.5,185,no
55,management,divorced,primary,unknown,may,1,-1,0,unknown,-0.17,93.634,-41.6,3.571,5221.4,87,no
36,entrepreneur,married,secondary,cellular,nov,1,-1,0,unknown,-2.05,94.124,-44.8,3.993,5229.5,203,no
45,management,married,tertiary,cellular,aug,4,-1,0,unknown,1.46,94.43,-44.1,6.442,5143.4,94,yes
31,management,married,tertiary,unknown,may,1,-1,0,unknown,-1.3,94.348,-39.2,4.163,5280.5,93,no
49,blue-collar,married,secondary,cellular,may,2,178,1,failure,-1.03,93.798,-39.8,4.429,5103.0,156,no
24,blue-collar,married,secondary,unknown,may,2,-1,0,unknown,0.42,93.176,-42.3,0.776,5213.7,200,no
25,technician,married,tertiary,cellular,may,2,-1,0,unknown,1.74,93.951,-42.6,4.519,5135.4,185,no
56,blue-collar,divorced,primary,cellular,jul,1,-1,0,unknown,-0.59,94.144,-32.2,2.75,5145.4,226,no
31,technician,single,secondary,cellular,may,1,-1,0,unknown,1.68,93.664,-32.8,5.316,5129.2,269,no
30,technician,single,secondary,telephone,aug,12,-1,0,unknown,-0.12,93.584,-40.4,4.429,5171.3,44,no
37,technician,single,secondary,unknown,may,1,-1,0,unknown,-1.62,93.387,-43.6,5.39,5224.8,799,yes
37,admin.,married,tertiary,cellular,jul,1,-1,0,unknown,0.36,93.691,-46.9,2.407,5148.9,115,no
32,technician,single,tertiary,cellular,jan,1,-1,0,unknown,1.49,93.79,-44.2,3.055,5228.3,67,no
33,technician,married,tertiary,cellular,nov,1,-1,0,unknown,2.26,93.727,-38.6,3.747,5179.5,238,no
26,entrepreneur,single,secondary,unknown,may,1,-1,0,unknown,-1.57,93.508,-36.8,2.279,5250.9,137,no
38,unemployed,married,primary,unknown,jun,2,-1,0,unknown,-0.93,93.681,-42.3,4.549,5165.9,340,no
34,blue-collar,single,primary,cellular,feb,2,-1,0,unknown,0.72,94.5,-36.5,2.985,5147.3,44,no
34,technician,married,secondary,cellular,feb,1,-1,0,unknown,-0.99,93.746,-33.2,3.786,5110.1,192,no
32,services,divorced,secondary,cellular,apr,1,150,2,failure,1.4,94.21,-42.3,2.232,5227.6,329,no
51,services,married,primary,telephone,may,6,-1,0,unknown,-0.53,94.527,-42.3,5.702,5261.3,36,no
49,technician,married,secondary,cellular,jul,3,-1,0,unknown,1.47,93.656,-37.7,3.896,5102.9,155,no
42,blue-collar,married,secondary,unknown,may,1,-1,0,unknown,1.29,93.973,-46.0,4.936,5154.6,197,no
45,management,divorced,tertiary,cellular,aug,4,-1,0,unknown,-0.95,94.016,-43.3,5.015,5159.6,93,no
47,technician,single,secondary,telephone,feb,1,-1,0,unknown,2.61,93.555,-42.8,2.99,5217.5,33,no
60,retired,single,tertiary,unknown,may,3,-1,0,unknown,1.1,92.452,-47.5,3.062,5236.2,92,no
32,technician,married,secondary,cellular,nov,1,-1,0,unknown,-1.06,93.691,-44.8,5.362,5161.3,131,no
32,technician,single,secondary,unknown,jun,3,-1,0,unknown,0.55,94.19,-37.0,5.16,5094.2,114,no
31,entrepreneur,single,tertiary,cellular,feb,1,-1,0,unknown,-1.35,93.521,-35.9,4.676,5263.9,90,no
56,services,married,secondary,cellular,aug,5,-1,0,unknown,0.16,93.691,-31.0,2.06,5154.1,342,no
30,technician,married,secondary,cellular,feb,3,206,8,other,-1.36,93.538,-43.5,4.172,5154.7,138,no
28,technician,single,secondary,cellular,apr,1,-1,0,unknown,1.48,92.726,-39.5,4.114,5177.5,108,no
46,admin.,single,secondary,unknown,may,2,-1,0,unknown,1.41,93.574,-41.3,3.155,5186.6,104,no
30,management,married,tertiary,cellular,jan,2,258,1,other,-1.01,94.506,-38.8,2.04,5108.3,464,no
27,management,single,unknown,unknown,jun,2,-1,0,unknown,2.9,94.438,-39.7,1.666,5163.2,71,no
49,admin.,single,primary,cellular,may,5,-1,0,unknown,0.85,92.787,-35.2,3.745,5125.1,32,no
58,blue-collar,married,primary,unknown,may,2,-1,0,unknown,-0.5,93.687,-38.9,3.329,5254.0,130,no
33,admin.,single,tertiary,cellular,oct,1,91,3,success,-1.51,93.825,-44.2,6.011,5180.5,380,yes
38,technician,married,secondary,cellular,may,1,-1,0,unknown,-0.57,93.819,-41.6,3.899,5252.6,147,no
34,admin.,single,secondary,cellular,feb,7,280,1,other,0.32,93.528,-43.6,3.097,5227.6,185,no
41,management,married,secondary,cellular,nov,2,-1,0,unknown,-0.4,93.61,-43.3,2.573,5186.5,233,no
38,housemaid,married,secondary,unknown,may,3,-1,0,unknown,1.76,93.916,-39.6,2.073,5138.8,59,no
34,management,married,tertiary,unknown,may,7,-1,0,unknown,-0.67,94.315,-40.5,3.157,5185.4,172,no
36,technician,single,secondary,cellular,feb,1,273,1,failure,-0.21,93.192,-41.0,1.721,5264.5,88,no
30,management,married,tertiary,unknown,may,3,-1,0,unknown,-0.67,93.936,-42.9,3.561,5231.7,122,no
33,admin.,single,tertiary,cellular,nov,2,-1,0,unknown,-1.17,93.682,-43.3,3.395,5121.0,189,no
37,technician,married,secondary,cellular,feb,2,269,3,failure,1.02,93.803,-36.0,4.652,5217.1,247,no
35,management,single,secondary,cellular,jul,6,-1,0,unknown,0.25,93.352,-32.8,3.643,5143.0,67,no
48,unemployed,single,primary,cellular,jul,4,-1,0,unknown,1.58,93.658,-37.7,3.492,5164.5,29,no
34,services,married,secondary,cellular,feb,2,-1,0,unknown,-0.11,93.857,-39.2,5.009,5170.9,696,no
38,self-employed,married,tertiary,cellular,aug,11,-1,0,unknown,-0.79,93.914,-47.0,2.314,5219.9,86,no
33,blue-collar,single,secondary,cellular,feb,1,-1,0,unknown,2.38,93.28,-42.2,4.549,5158.1,173,no
44,admin.,married,secondary,unknown,may,5,-1,0,unknown,1.97,94.3,-43.5,2.378,5163.8,827,no
27,management,married,tertiary,cellular,jul,3,-1,0,unknown,-0.79,93.634,-42.4,3.576,5205.4,159,no
25,admin.,single,secondary,cellular,feb,1,-1,0,unknown,1.58,93.201,-38.6,3.675,5163.2,189,yes
37,self-employed,divorced,secondary,unknown,jun,1,-1,0,unknown,0.67,93.227,-41.1,1.827,5198.4,250,no
60,technician,divorced,tertiary,unknown,may,1,-1,0,unknown,-0.78,94.154,-39.2,4.465,5100.3,498,no
43,entrepreneur,single,tertiary,cellular,nov,4,114,4,failure,-1.62,94.079,-43.2,4.248,5173.6,90,no
35,management,married,tertiary,cellular,nov,2,111,2,failure,0.58,93.559,-39.5,5.801,5191.9,70,no
44,services,divorced,secondary,unknown,may,15,-1,0,unknown,-1.75,94.8,-41.9,0.856,5096.8,54,no
40,blue-collar,married,secondary,cellular,apr,2,-1,0,unknown,0.13,93.309,-47.8,2.147,5303.8,90,no
43,self-employed,married,tertiary,cellular,may,1,77,5,failure,1.42,93.531,-41.2,2.423,5192.0,98,no
45,entrepreneur,divorced,secondary,cellular,nov,1,-1,0,unknown,0.22,93.325,-38.6,2.361,5255.5,157,no
50,management,married,tertiary,cellular,oct,1,-1,0,unknown,0.89,93.62,-42.3,2.021,5187.2,96,yes
43,management,divorced,tertiary,cellular,jun,1,20,1,other,-0.08,94.117,-42.9,3.39,5155.3,187,yes
46,management,married,tertiary,cellular,jul,8,-1,0,unknown,0.73,93.527,-40.4,1.864,5279.2,109,no
25,entrepreneur,married,tertiary,unknown,may,2,-1,0,unknown,0.07,94.458,-39.6,3.865,5168.8,453,no
26,housemaid,single,secondary,unknown,may,16,-1,0,unknown,1.29,94.169,-39.8,2.039,5168.8,60,no
32,entrepreneur,married,secondary,unknown,jun,5,-1,0,unknown,-1.65,93.715,-38.0,3.52,5175.1,80,no
39,admin.,married,secondary,unknown,may,1,-1,0,unknown,2.26,94.084,-40.6,2.316,5112.5,661,no
30,blue-collar,married,secondary,unknown,may,3,-1,0,unknown,-0.13,94.219,-44.0,3.428,5120.6,159,no
48,management,married,primary,unknown,jun,1,-1,0,unknown,0.52,94.026,-42.1,4.227,5161.7,105,no
53,retired,married,tertiary,cellular,nov,2,113,3,failure,1.47,93.712,-35.2,2.678,5098.3,442,no
41,management,married,tertiary,cellular,aug,7,-1,0,unknown,-1.05,93.663,-41.0,2.752,5266.0,74,no
34,technician,single,secondary,cellular,aug,4,-1,0,unknown,0.1,93.384,-39.7,3.191,5165.8,90,no
41,admin.,single,secondary,unknown,jun,4,-1,0,unknown,0.39,93.135,-32.1,1.939,5227.1,583,yes
50,unemployed,married,secondary,unknown,jun,1,-1,0,unknown,1.47,93.816,-43.1,2.344,5189.1,117,no
27,unknown,single,tertiary,telephone,jan,4,-1,0,unknown,0.31,93.771,-42.8,3.311,5093.7,147,no
36,blue-collar,married,unknown,unknown,may,2,-1,0,unknown,-0.41,92.603,-47.6,4.109,5194.2,268,no
42,admin.,married,secondary,unknown,jun,1,-1,0,unknown,2.14,94.726,-42.2,3.73,5133.1,248,no
30,technician,married,secondary,cellular,may,2,333,5,other,-0.11,94.009,-42.9,3.523,5125.0,49,no
44,management,divorced,tertiary,cellular,jul,1,-1,0,unknown,-0.77,93.112,-37.2,0.88,5238.0,472,no
33,management,single,tertiary,cellular,nov,1,-1,0,unknown,1.21,93.882,-41.9,4.425,5092.1,311,no
33,admin.,single,secondary,cellular,jan,2,-1,0,unknown,-1.24,93.42,-42.9,3.102,5255.7,1296,no
43,blue-collar,married,secondary,unknown,may,1,-1,0,unknown,-0.87,93.17,-43.6,5.405,5253.6,70,no
51,services,married,secondary,unknown,may,2,-1,0,unknown,-0.33,93.387,-48.9,3.864,5160.2,140,no
37,services,single,secondary,unknown,jun,2,-1,0,unknown,0.78,93.763,-41.4,3.4,5212.4,92,no
40,technician,married,secondary,cellular,apr,2,-1,0,unknown,-2.47,93.265,-47.9,3.039,5191.5,179,no
35,unemployed,single,secondary,cellular,jan,1,-1,0,unknown,-0.61,93.45,-37.3,4.066,5183.3,374,no
35,management,single,tertiary,cellular,dec,3,165,2,other,1.03,93.049,-40.4,5.677,5262.5,410,yes
36,management,single,tertiary,unknown,jul,3,-1,0,unknown,0.13,93.522,-46.7,4.49,5222.6,85,no
52,admin.,married,secondary,cellular,oct,2,96,7,failure,-1.19,94.191,-37.0,4.479,5264.7,139,no
37,services,single,secondary,cellular,feb,1,273,1,failure,2.31,93.728,-39.3,1.115,5036.2,127,no
33,management,married,tertiary,cellular,oct,1,430,2,failure,2.73,93.455,-39.5,2.531,5129.4,438,yes
29,blue-collar,single,primary,unknown,jun,3,-1,0,unknown,-3.0,93.17,-41.7,3.292,5123.4,2653,yes
39,technician,married,secondary,telephone,feb,2,-1,0,unknown,1.72,93.577,-47.7,2.897,5103.8,53,no
35,technician,married,secondary,cellular,aug,4,-1,0,unknown,-0.94,94.244,-35.5,1.235,5208.4,404,no
32,technician,single,tertiary,cellular,aug,2,-1,0,unknown,0.43,94.102,-41.7,4.15,5211.7,31,no
42,services,married,tertiary,cellular,jun,2,-1,0,unknown,-0.69,93.63,-43.1,3.904,5153.2,186,yes
30,blue-collar,married,primary,unknown,may,5,-1,0,unknown,0.6,94.006,-42.5,2.885,5303.2,89,no
41,blue-collar,married,secondary,unknown,may,4,-1,0,unknown,-1.31,93.378,-43.4,3.698,5119.8,1162,yes
26,student,single,tertiary,cellular,apr,2,-1,0,unknown,-0.78,93.513,-41.3,2.375,5174.3,639,no
35,management,single,tertiary,unknown,may,2,-1,0,unknown,-2.3,93.622,-40.1,4.204,5208.9,55,no
44,technician,married,secondary,cellular,aug,8,-1,0,unknown,-0.23,93.128,-38.1,5.143,5219.1,82,no
33,technician,married,secondary,cellular,jan,1,270,1,other,-1.88,95.201,-38.5,4.782,5221.1,272,no
35,student,single,unknown,unknown,may,2,-1,0,unknown,1.17,94.451,-49.2,2.267,5173.6,611,no
40,admin.,married,primary,unknown,may,2,-1,0,unknown,2.14,93.821,-41.9,3.487,5095.8,160,no
41,housemaid,divorced,primary,unknown,jun,1,-1,0,unknown,2.78,93.764,-46.5,3.499,5106.6,113,no
35,entrepreneur,married,secondary,unknown,may,2,-1,0,unknown,0.46,93.516,-32.9,3.775,5132.9,424,no
28,blue-collar,single,secondary,cellular,oct,1,120,1,other,-0.04,93.678,-42.0,2.413,5210.5,285,no
28,blue-collar,married,secondary,cellular,feb,1,174,4,success,1.41,94.39,-45.6,2.32,5288.1,253,yes
38,admin.,divorced,secondary,cellular,apr,1,-1,0,unknown,1.43,94.857,-44.0,4.018,5188.3,397,no
40,unemployed,married,primary,unknown,jun,1,-1,0,unknown,1.88,94.149,-44.5,3.279,5176.9,317,no
29,services,single,secondary,cellular,jul,1,-1,0,unknown,0.17,93.776,-45.9,3.856,5185.1,510,no
31,blue-collar,married,secondary,unknown,may,1,-1,0,unknown,0.27,93.73,-40.9,2.914,5197.1,254,no
49,housemaid,married,primary,unknown,jun,3,-1,0,unknown,2.34,93.927,-43.7,4.037,5201.0,119,no
52,blue-collar,married,secondary,cellular,nov,2,113,2,failure,1.75,93.43,-42.6,5.221,5135.7,205,no
36,management,married,secondary,cellular,jul,2,-1,0,unknown,0.61,93.692,-43.7,2.603,5115.1,368,no
36,housemaid,single,secondary,cellular,aug,2,-1,0,unknown,0.3,93.277,-41.2,3.036,5259.1,149,no
32,technician,married,tertiary,cellular,jul,6,-1,0,unknown,-0.19,94.173,-46.9,3.288,5239.0,184,no
36,management,married,tertiary,cellular,oct,2,-1,0,unknown,0.31,94.292,-43.6,3.594,5116.5,91,no
32,services,divorced,tertiary,unknown,may,2,-1,0,unknown,0.72,93.344,-34.7,2.749,5156.2,102,no
32,technician,single,tertiary,cellular,aug,2,-1,0,unknown,2.16,93.44,-41.8,3.473,5206.3,239,no
54,management,married,unknown,cellular,apr,1,281,3,failure,0.98,92.652,-40.4,3.453,5188.5,112,no
58,unemployed,divorced,secondary,unknown,jun,5,-1,0,unknown,-0.1,94.387,-42.3,4.983,5113.9,247,no
59,retired,divorced,secondary,cellular,jan,2,-1,0,unknown,-0.92,94.119,-38.7,3.408,5179.2,503,no
34,management,single,tertiary,cellular,jul,5,-1,0,unknown,-0.61,93.49,-46.1,4.802,5222.6,198,no
32,blue-collar,married,secondary,unknown,jun,2,-1,0,unknown,1.84,94.074,-43.8,1.406,5212.8,77,no
35,technician,single,tertiary,cellular,aug,2,-1,0,unknown,1.08,93.663,-39.4,2.395,5163.8,300,no
31,technician,single,secondary,unknown,may,2,-1,0,unknown,-1.19,93.697,-43.2,2.753,5181.8,81,no
32,admin.,married,secondary,cellular,may,5,-1,0,unknown,1.49,94.464,-39.6,3.654,5291.3,47,no
41,management,married,secondary,unknown,may,1,-1,0,unknown,0.41,93.723,-39.6,4.406,5244.5,247,no
41,management,married,tertiary,unknown,may,4,-1,0,unknown,-1.6,92.943,-40.7,4.778,5132.3,330,no
51,blue-collar,divorced,secondary,unknown,may,2,-1,0,unknown,0.29,93.826,-39.1,5.005,5103.5,723,no
38,technician,married,secondary,cellular,jul,5,-1,0,unknown,-0.01,93.984,-39.7,3.945,5254.1,500,no
31,admin.,married,secondary,cellular,jul,4,-1,0,unknown,1.6,94.036,-38.3,4.317,5162.9,156,no
34,services,married,secondary,cellular,may,4,-1,0,unknown,2.89,93.263,-40.7,4.178,5209.5,129,no
37,admin.,married,secondary,cellular,jul,6,-1,0,unknown,0.31,93.486,-37.4,4.151,5159.5,22,no
49,management,divorced,tertiary,cellular,jul,8,-1,0,unknown,2.06,93.873,-40.3,3.821,5158.6,744,no
37,management,single,tertiary,unknown,may,5,-1,0,unknown,-0.22,92.616,-44.7,3.528,5094.4,777,no
29,admin.,single,secondary,unknown,may,1,-1,0,unknown,-0.13,93.401,-46.8,3.078,5140.1,803,yes
35,technician,divorced,secondary,cellular,jul,1,-1,0,unknown,2.82,93.311,-43.9,3.159,5186.3,304,no
54,self-employed,married,secondary,cellular,jul,2,-1,0,unknown,0.35,93.294,-41.7,3.59,5213.7,113,no
35,management,married,tertiary,cellular,aug,2,-1,0,unknown,0.33,93.994,-42.5,3.485,5177.4,174,no
63,retired,married,primary,cellular,jun,1,-1,0,unknown,-1.15,93.709,-41.5,4.152,5234.0,251,yes
25,services,single,tertiary,cellular,jul,1,-1,0,unknown,-0.28,93.309,-44.7,3.072,5099.8,49,no
54,management,married,tertiary,cellular,jul,1,-1,0,unknown,0.06,93.544,-44.8,5.21,5189.6,301,no
50,management,married,tertiary,cellular,may,4,266,20,other,-0.57,93.024,-37.6,4.442,5213.6,83,no
43,blue-collar,married,primary,cellular,nov,1,-1,0,unknown,1.38,94.017,-41.6,3.5,5277.6,70,no
49,admin.,married,secondary,unknown,may,2,-1,0,unknown,0.97,93.545,-43.4,3.756,5155.8,99,no
26,services,single,secondary,unknown,jun,9,-1,0,unknown,2.14,92.987,-37.6,3.839,5177.8,82,no
53,admin.,divorced,secondary,cellular,aug,1,98,2,failure,1.05,93.137,-41.0,4.02,5180.5,1452,yes
33,entrepreneur,married,secondary,cellular,jul,6,-1,0,unknown,0.11,94.429,-41.9,3.141,5131.6,141,no
40,technician,married,secondary,cellular,aug,1,-1,0,unknown,-0.78,94.113,-42.2,4.122,5078.8,129,no
24,technician,single,secondary,cellular,may,2,-1,0,unknown,2.05,93.527,-43.6,2.868,5234.8,190,no
80,retired,divorced,primary,cellular,mar,1,223,3,other,-1.79,93.384,-39.4,3.623,5260.1,577,yes
46,management,married,tertiary,unknown,may,1,-1,0,unknown,-0.69,94.603,-46.3,1.898,5135.2,197,no
34,management,single,tertiary,unknown,may,1,-1,0,unknown,-0.6,92.852,-43.6,2.598,5155.4,68,no
47,technician,divorced,unknown,cellular,may,1,-1,0,unknown,-0.76,94.181,-39.8,3.619,5182.0,85,no
30,management,single,tertiary,unknown,jun,2,-1,0,unknown,2.62,94.034,-44.0,3.509,5137.4,301,no
34,blue-collar,married,secondary,cellular,jul,3,-1,0,unknown,1.12,93.493,-39.6,2.216,5131.3,218,no
52,self-employed,married,secondary,unknown,may,1,-1,0,unknown,0.34,94.795,-44.0,3.752,5119.0,227,no
41,blue-collar,married,secondary,unknown,may,2,-1,0,unknown,-0.22,93.017,-41.0,2.078,5187.8,240,no
42,admin.,married,unknown,cellular,oct,4,160,3,failure,1.36,94.001,-40.6,2.758,5130.0,72,no
55,blue-collar,married,secondary,unknown,may,2,-1,0,unknown,0.79,93.271,-38.9,3.145,5249.9,58,no
23,blue-collar,single,secondary,cellular,may,1,-1,0,unknown,1.51,93.529,-44.9,2.076,5138.2,377,no
36,management,married,secondary,cellular,apr,1,323,3,failure,0.14,93.705,-44.5,2.871,5164.1,56,no
32,technician,married,secondary,unknown,may,1,-1,0,unknown,1.95,95.071,-38.9,4.741,5164.2,296,no
32,services,divorced,secondary,cellular,jul,4,-1,0,unknown,0.3,92.975,-41.0,4.209,5136.4,937,no
50,blue-collar,married,tertiary,cellular,may,3,-1,0,unknown,0.1,93.573,-33.9,4.014,5223.3,187,no
52,housemaid,divorced,primary,cellular,jan,1,-1,0,unknown,0.56,93.576,-39.7,2.248,5140.2,130,no
42,blue-collar,married,primary,telephone,may,6,-1,0,unknown,2.78,93.277,-38.5,5.668,5173.4,36,no
38,services,divorced,secondary,cellular,may,2,-1,0,unknown,-0.03,93.871,-39.4,4.054,5093.7,1880,no
38,technician,divorced,secondary,cellular,jul,1,-1,0,unknown,0.81,93.199,-44.4,3.821,5279.6,73,no
60,retired,married,secondary,telephone,jul,2,-1,0,unknown,2.47,92.936,-33.8,2.774,5176.4,112,no
31,self-employed,married,tertiary,cellular,jul,16,-1,0,unknown,-0.53,93.994,-40.5,2.592,5256.5,98,no
42,housemaid,married,primary,unknown,jun,8,-1,0,unknown,1.24,93.183,-43.8,3.246,5131.5,125,no
33,management,single,tertiary,cellular,aug,6,-1,0,unknown,0.86,93.846,-40.3,2.389,5032.1,147,no
33,blue-collar,divorced,primary,cellular,jul,11,-1,0,unknown,-0.19,94.033,-45.8,2.771,5231.2,211,no
41,management,married,tertiary,unknown,may,1,-1,0,unknown,0.2,93.25,-42.0,6.004,5164.8,37,no
50,entrepreneur,married,tertiary,unknown,jun,1,-1,0,unknown,2.21,93.48,-42.4,2.968,5169.5,117,no
37,admin.,married,tertiary,cellular,aug,2,-1,0,unknown,-0.26,94.143,-41.9,4.516,5228.3,48,no
40,services,married,primary,cellular,may,3,-1,0,unknown,-2.34,93.247,-44.2,2.55,5141.2,361,no
54,services,married,secondary,unknown,may,4,-1,0,unknown,-0.8,93.417,-47.1,1.593,5205.3,284,no
